name,chain,volume,market_cap,floor_price,avg_price,sales,assets,owners
CyberKongz VX,Ethereum,"32,035.5 ETH","22,412.82 ETH",1.225 ETH,1.5663 ETH,,"14,825","2,938"
Prime Ape Planet,Ethereum,"29,363.3 ETH","3,042.69 ETH",0.29 ETH,1.9841 ETH,,"7,979","5,030"
3Landers,Ethereum,"29,294.54 ETH","20,590.67 ETH",1.9 ETH,1.6935 ETH,,"10,000","5,611"
The Doge Pound,Ethereum,"28,881.07 ETH","7,349.75 ETH",0.638 ETH,1.5177 ETH,,"10,000","5,539"
Lazy Lions,Ethereum,"27,969.62 ETH","15,520.72 ETH",1.2799 ETH,1.0631 ETH,,"10,079","5,112"
CyberBrokers,Ethereum,"26,904.88 ETH","53,571.45 ETH",4.18 ETH,2.7245 ETH,,"9,987","3,681"
Zipcy's SuperNormal,Ethereum,"26,069.03 ETH","3,685.55 ETH",0.36 ETH,2.2537 ETH,,"8,888","4,526"
Kaiju Kingz,Ethereum,"26,002.64 ETH","11,959.84 ETH",1.189 ETH,3.1734 ETH,,"5,807","3,294"
DeadFellaz,Ethereum,"25,801.17 ETH","21,714.65 ETH",2 ETH,1.0399 ETH,,"9,999","6,197"
VOX,Ethereum,"24,540.65 ETH","20,823.46 ETH",0.668 ETH,1.3525 ETH,,"8,888","3,409"
alien frens,Ethereum,"24,057.59 ETH","25,913.7 ETH",2.48 ETH,0.8749 ETH,,"10,000","6,722"
World of Women Galaxy,Ethereum,"23,683.23 ETH","35,169.67 ETH",1.4 ETH,1.8971 ETH,,"20,921","11,051"
Capsule House,Ethereum,"23,550.79 ETH","16,421.19 ETH",1.2875 ETH,1.0375 ETH,,"10,000","3,884"
SupDucks,Ethereum,"23,065.8 ETH","10,659.28 ETH",0.94 ETH,1.2281 ETH,,"10,001","3,597"
Sneaky Vampire Syndicate,Ethereum,"22,294.3 ETH","4,317.21 ETH",0.42 ETH,1.41 ETH,,"8,887","1,372"
Gutter Cat Gang,Ethereum,"21,740.37 ETH","24,263.66 ETH",7.15 ETH,2.2232 ETH,,"3,000","1,796"
CryptoSkulls,Ethereum,"20,304 ETH","9,718.77 ETH",0.899 ETH,0.9191 ETH,,"9,997","4,149"
Jungle Freaks Genesis,Ethereum,"18,641.34 ETH","2,833.43 ETH",0.26 ETH,0.8769 ETH,,"9,999","1,965"
